code,name
11.01.05.2012,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2013,Blang Teungoh
11.01.05.2014,Blang Bladeh
11.01.05.2015,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2016,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2017,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2018,Tanjung Harapan
11.01.05.2019,Labuhan Tarok
11.01.05.2020,Lhok Aman
11.01.05.2021,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.05.2022,Ladang Baro
11.01.05.2023,"Pemekaran Desa, Qonun No. 6/2010"
11.01.06,-
11.01.06.2001,Dalam
11.01.06.2002,Subarang
11.01.06.2003,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.06.2004,Gunung Ketek
11.01.06.2005,Ladang Panton Luas
11.01.06.2006,Madat
11.01.06.2007,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.06.2008,Tengah
11.01.06.2009,Gunung Cut
11.01.06.2010,Alur Pinang
11.01.06.2011,Kuta Blang
11.01.06.2012,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.06.2013,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.06.2014,Ujung Kampung
11.01.06.2015,Jilatang
11.01.06.2016,Luar
11.01.06.2017,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.06.2018,Suaq Hulu
11.01.06.2019,Tampang
11.01.06.2020,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.01.06.2021,Gadang
11.01.06.2022,Baru
11.01.06.2023,Ladang Kasik Putih
11.01.06.2024,Air Sialang Hilir.
11.01.06.2025,Air Sialang Hulu
11.01.06.2026,Air Sialang Tengah
11.01.06.2027,Balai
11.01.06.2028,Qanun No. 5/2007
11.01.07,-
11.01.07.2001,Sikulat
11.01.07.2002,Sawang I
11.01.07.2003,Meuligo
11.01.07.2004,Lhok Pawoh
11.01.07.2005,Sawang II
11.01.07.2006,Ujung Karang
11.01.07.2007,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.07.2008,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.07.2009,Panton Luas
11.01.07.2010,Simpang Tiga
11.01.07.2011,Kuta Baro
11.01.07.2012,Blang Geulinggang
11.01.07.2013,Mutiara
11.01.07.2014,Ujung Padang
11.01.07.2015,Sawang Ba'u
11.01.08,-
11.01.08.2001,Lhok Keutapang
11.01.08.2002,Hilir
11.01.08.2003,Padang
11.01.08.2004,Hulu
11.01.08.2005,Jambo Apha
11.01.08.2006,Tepi Air
11.01.08.2007,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.08.2008,Lhok Bengkuang
11.01.08.2009,Panton Luas
11.01.08.2010,Gunung Kerambil
11.01.08.2011,"Koreksi nama 'Air Berundang' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
11.01.08.2012,Batu Itam
11.01.08.2013,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.08.2014,Lhok Rukam
11.01.08.2015,Air Pinang
11.01.08.2016,"Pemekaran Desa, Qonun No. 6/2010"
11.01.09,-
11.01.09.2001,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.09.2002,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.09.2003,Sigleng
11.01.09.2004,Ie Meudama
11.01.09.2005,"Perbaikan nama sesuai Srt Pemkab Aceh Selatan No.140/819/2016 tgl
14 okt 2016, Rekomedasi Ditjen BPD No. 146/3672/BPD tgl 21 Juni
2017, Srt Ditjen BPD No. 145/1820/SET tgl 15 Nov 2018 hal
penyampaian hasil validasi"
11.01.09.2006,Kuta Baro
11.01.09.2007,Panton Bilie
11.01.09.2012,Kuta Padang
11.01.09.2013,Raket
11.01.09.2014,"Surat Gubernur Aceh No.140/31091 tgl 19 Okt 2017 hal Rekomendasi
Usulan Pemutakhiran Kode Dan data Wilayah Adm Pemkab Aceh
Selatan dan Perda No.4/2010"
11.01.09.2015,Seuneubok Jaya
11.01.09.2016,Padang Harapan
11.01.10,-
11.01.10.2001,Ladang Teungoh
11.01.10.2002,Pucok Krueng
11.01.10.2003,Silolo
11.01.10.2004,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.10.2005,Panton Bili
11.01.10.2006,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.10.2007,Ladang Tuha
11.01.10.2008,Mata Ie
11.01.10.2009,Ujong Batee
11.01.10.2010,Lhok Sialang Cut
11.01.10.2011,"Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD
tgl 21 Juni 2017"
11.01.10.2012,Ie Mirah
11.01.10.2013,Pasie Rasian
11.01.10.2014,Ujung Padang Rasian
11.01.10.2015,Krueng Kalee
11.01.10.2016,Lhok Sialang Rayeuk
11.01.10.2017,"Perbaikan nama Desa Pd. Macan Brs sesuai Surat Pem Aceh No.
146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai Surat Pemkab
Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan Rekomedasi Ditjen
Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
11.01.10.2018,Teupin Gajah
