level,kode,nama_wilayah,parent_provinsi,parent_kabupaten,jumlah_desa,luas_wilayah,keterangan
desa,11.01.09.2002,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.09.2003,,,,,,
desa,11.01.09.2004,,,,,,
desa,11.01.09.2005,,,,,,"Perbaikan nama sesuai Srt Pemkab Aceh Selatan No.140/819/2016 tgl  14 okt 2016, Rekomedasi Ditjen BPD No. 146/3672/BPD tgl 21 Juni  2017, Srt Ditjen BPD No. 145/1820/SET tgl 15 Nov 2018 hal  penyampaian hasil validasi"
desa,11.01.09.2006,,,,,,
desa,11.01.09.2007,,,,,,
desa,11.01.09.2012,,,,,,
desa,11.01.09.2014,,,,,,Surat Gubernur Aceh No.140/31091 tgl 19 Okt 2017 hal Rekomendasi  Usulan Pemutakhiran Kode Dan data Wilayah Adm Pemkab Aceh  Selatan dan Perda No.4/2010
desa,11.01.09.2015,,,,,,
desa,11.01.09.2016,,,,,,
kecamatan,11.01.10,,,,,,
kecamatan,11.01.10,Pasi Raja,,KAB. ACEH SELATAN,21.0,,
desa,11.01.10.2001,,,,,,
desa,11.01.10.2002,,,,,,
desa,11.01.10.2003,,,,,,
desa,11.01.10.2004,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.10.2005,,,,,,
desa,11.01.10.2006,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.10.2007,,,,,,
desa,11.01.10.2008,,,,,,
desa,11.01.10.2009,,,,,,
desa,11.01.10.2010,,,,,,
desa,11.01.10.2011,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.10.2012,,,,,,
desa,11.01.10.2013,,,,,,
desa,11.01.10.2014,,,,,,
desa,11.01.10.2015,,,,,,
desa,11.01.10.2016,,,,,,
desa,11.01.10.2017,,,,,,"Perbaikan nama Desa Pd. Macan Brs sesuai Surat Pem Aceh No.  146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai Surat Pemkab  Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan Rekomedasi Ditjen  Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
desa,11.01.10.2018,,,,,,
desa,11.01.10.2019,,,,,,
desa,11.01.10.2020,,,,,,
desa,11.01.10.2021,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.11,,,,,,
kecamatan,11.01.11,Labuhan Haji Timur,,KAB. ACEH SELATAN,12.0,,
desa,11.01.11.2001,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.11.2002,,,,,,
desa,11.01.11.2003,,,,,,
desa,11.01.11.2005,,,,,,
desa,11.01.11.2006,,,,,,
desa,11.01.11.2007,,,,,,
desa,11.01.11.2008,,,,,,
desa,11.01.11.2009,,,,,,
desa,11.01.11.2010,,,,,,
desa,11.01.11.2011,,,,,,
desa,11.01.11.2012,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.12,,,,,,
kecamatan,11.01.12,Labuhan Haji Barat,,KAB. ACEH SELATAN,15.0,,
desa,11.01.12.2001,,,,,,
desa,11.01.12.2002,,,,,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016, Perbaikan nama sesuai Surat Pemkab Aceh Selatan  No.140/819/2016 tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes  No. 146/3672/BPD tgl 21 Juni 2017"
desa,11.01.12.2003,,,,,,
desa,11.01.12.2004,,,,,,
desa,11.01.12.2005,,,,,,
desa,11.01.12.2006,,,,,,
desa,11.01.12.2007,,,,,,
desa,11.01.12.2008,,,,,,
desa,11.01.12.2009,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.12.2010,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.12.2011,,,,,,
desa,11.01.12.2012,,,,,,
desa,11.01.12.2013,,,,,,
desa,11.01.12.2014,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
desa,11.01.12.2015,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.13,,,,,,
kecamatan,11.01.13,Kluet Tengah,,KAB. ACEH SELATAN,13.0,,
desa,11.01.13.2001,,,,,,Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh
desa,11.01.13.2002,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.13.2003,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.13.2004,,,,,,
desa,11.01.13.2006,,,,,,
desa,11.01.13.2007,,,,,,
desa,11.01.13.2008,,,,,,
desa,11.01.13.2009,,,,,,
desa,11.01.13.2010,,,,,,
desa,11.01.13.2011,,,,,,
desa,11.01.13.2012,,,,,,"Perbaikan nama Desa Kampung Tinggi sesuai Surat Pemkab Aceh  Selatan No.140/819/2016 tgl 14 okt 2016, Rekomedasi Ditjen Bina  Pemdes No. 146/3672/BPD tgl 21 Juni 2017 dan Surat Pemkab Aceh  Selatan No.140/810/2017 tgl 13 Okt 2017"
desa,11.01.13.2013,,,,,,"Perbaikan nama Desa Ruak sesuai Surat Pemkab Aceh Selatan  No.140/819/2016 tgl 14 okt 2016, Rekomedasi Ditjen Bina Pemdes No.  146/3672/BPD tgl 21 Juni 2017 dan Surat Pemkab Aceh Selatan  No.140/810/2017 tgl 13 Okt 2017"
kecamatan,11.01.14,,,,,,
kecamatan,11.01.14,Kluet Timur,,KAB. ACEH SELATAN,9.0,,
desa,11.01.14.2001,,,,,,
desa,11.01.14.2002,,,,,,
desa,11.01.14.2003,,,,,,
desa,11.01.14.2004,,,,,,
desa,11.01.14.2005,,,,,,
desa,11.01.14.2006,,,,,,
desa,11.01.14.2007,,,,,,
desa,11.01.14.2008,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
desa,11.01.14.2009,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.15,,,,,,
kecamatan,11.01.15,Bakongan Timur,,KAB. ACEH SELATAN,7.0,,
desa,11.01.15.2001,,,,,,Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh
desa,11.01.15.2002,,,,,,
desa,11.01.15.2003,,,,,,
desa,11.01.15.2004,,,,,,
desa,11.01.15.2005,,,,,,
desa,11.01.15.2006,,,,,,
desa,11.01.15.2008,,,,,,
kecamatan,11.01.16,Trumon Timur,,KAB. ACEH SELATAN,8.0,,
kecamatan,11.01.16,,,,,,
desa,11.01.16.2005,,,,,,
desa,11.01.16.2006,,,,,,
desa,11.01.16.2007,,,,,,
desa,11.01.16.2008,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.16.2009,,,,,,
desa,11.01.16.2010,,,,,,Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh
desa,11.01.16.2011,,,,,,
desa,11.01.16.2012,,,,,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni  2016, Perbaikan nama sesuai Surat Pemkab Aceh Selatan  No.140/819/2016 tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes  No. 146/3672/BPD tgl 21 Juni 2017"
kecamatan,11.01.17,,,,,,Pemekaran Kec Perda No. 3/2010
kecamatan,11.01.17,Kota Bahagia,,KAB. ACEH SELATAN,10.0,,Pemekaran Kec Perda No. 3/2010
desa,11.01.17.2001,,,,,,"Semula wil Kec. Bakongan Perda No. 3/2010, Perbaikan nama sesuai  Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan  Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
desa,11.01.17.2002,,,,,,Semula wil Kec. Bakongan Perda No. 3/2010
desa,11.01.17.2003,,,,,,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat  Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai  Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan  Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
desa,11.01.17.2004,,,,,,Semula wil Kec. Bakongan Perda No. 3/2010
desa,11.01.17.2005,,,,,,Semula wil Kec. Bakongan Perda No. 3/2010
desa,11.01.17.2006,,,,,,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat  Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai  Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan  Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
desa,11.01.17.2007,,,,,,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat  Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai  Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan  Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
desa,11.01.17.2008,,,,,,Semula wil Kec. Bakongan Perda No. 3/2010
desa,11.01.17.2009,,,,,,Semula wil Kec. Bakongan Perda No. 3/2010
desa,11.01.17.2010,,,,,,"Semula wil Kec.Bakongan Perda No.3/2010, Perbaikan nama Surat  Pem Aceh No.146.1/10560 tgl 13 Juni 2016, Perbaikan nama sesuai  Surat Pemkab Aceh Selatan No.140/819/2016 tgl 14 okt 2016 dan  Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21 Juni 2017"
kecamatan,11.01.18,,,,,,Pemekaran Kec Perda No. 4/2010
kecamatan,11.01.18,Trumon Tengah,,KAB. ACEH SELATAN,10.0,,Pemekaran Kec Perda No. 4/2010
desa,11.01.18.2001,,,,,,Semula wil Kec. Trumon Timur Perda No. 4/2010
desa,11.01.18.2003,,,,,,Semula wil Kec. Trumon Perda No. 4/2010
desa,11.01.18.2004,,,,,,Semula wil Kec. Trumon Perda No. 4/2010
desa,11.01.18.2005,,,,,,Semula wil Kec. Trumon Perda No. 4/2010
desa,11.01.18.2006,,,,,,Semula wil Kec. Trumon Timur Perda No. 4/2010
desa,11.01.18.2007,,,,,,Semula wil Kec. Trumon Timur Perda No. 4/2010
desa,11.01.18.2008,,,,,,Semula wil Kec. Trumon Timur Perda No. 4/2010
desa,11.01.18.2009,,,,,,Semula wil Kec. Trumon Timur Perda No. 4/2010
desa,11.01.18.2010,,,,,,Semula wil Kec. Trumon Timur Perda No. 4/2010
kabupaten,11.02,KAB. ACEH TENGGARA,,KAB. ACEH TENGGARA,385.0,4179.0,Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.  B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
kabupaten,11.02,KAB.,,KAB.,385.0,4179.123,Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
kecamatan,11.02.01,Lawe Alas,,KAB. ACEH TENGGARA,28.0,,
kecamatan,11.02.01,,,KAB.,28.0,,
desa,11.02.01.2001,,,KAB.,1.0,,Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
desa,11.02.01.2002,,,KAB.,2.0,,
desa,11.02.01.2004,,,KAB.,3.0,,
desa,11.02.01.2006,,,KAB.,4.0,,
desa,11.02.01.2007,,,KAB.,5.0,,
desa,11.02.01.2008,,,KAB.,6.0,,
desa,11.02.01.2009,,,KAB.,7.0,,
desa,11.02.01.2011,,,KAB.,8.0,,
desa,11.02.01.2012,,,KAB.,9.0,,
desa,11.02.01.2013,,,KAB.,10.0,,
desa,11.02.01.2014,,,KAB.,11.0,,
desa,11.02.01.2015,,,KAB.,12.0,,
desa,11.02.01.2016,,,KAB.,13.0,,
desa,11.02.01.2017,,,KAB.,14.0,,
desa,11.02.01.2018,,,KAB.,15.0,,
desa,11.02.01.2019,,,KAB.,16.0,,
desa,11.02.01.2020,,,KAB.,17.0,,Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
desa,11.02.01.2021,,,KAB.,18.0,,
desa,11.02.01.2022,,,KAB.,19.0,,
desa,11.02.01.2023,,,KAB.,20.0,,"Qanun No. 36/2006, Perbaikan nama sesuai Validasi Data Nama dan"
desa,11.02.01.2024,,,KAB.,21.0,,Qanun
desa,11.02.01.2025,,,KAB.,22.0,,Qanun
desa,11.02.01.2026,,,KAB.,23.0,,Qanun
desa,11.02.01.2028,,,,,,"Qanun No. 36/2006, Perbaikan nama sesuai Surat Pem Aceh No.  146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama Desa/Gampong  di Aceh"
desa,11.02.01.2029,,,,,,"Qanun No. 36/2006, Perbaikan nama sesuai Surat Pem Aceh No.  146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama Desa/Gampong  di Aceh"
desa,11.02.01.2030,,,,,,Qanun No. 36/2006
desa,11.02.01.2031,,,,,,Qanun No. 36/2006
kecamatan,11.02.02,,,,,,
kecamatan,11.02.02,Lawe Sigala-Gala,,KAB. ACEH TENGGARA,35.0,,
